epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,878.058,1.7247,0.98222,1.0398,0.769,0.788,0.84528,0.39977,1.74411,0.91925,1.05518,0.0014852,0.0014852,0.0014852
15,939.857,1.71864,0.97535,1.02983,0.7716,0.74203,0.8271,0.3738,1.83507,1.02275,1.07021,0.0014456,0.0014456,0.0014456
16,1001.74,1.72008,0.96147,1.03075,0.77963,0.79416,0.85629,0.44316,1.64285,0.89091,1.03028,0.001406,0.001406,0.001406
17,1064.37,1.69983,0.9566,1.02912,0.78505,0.81162,0.86492,0.44904,1.62557,0.88708,1.02588,0.0013664,0.0013664,0.0013664
18,1126.98,1.7036,0.95431,1.02736,0.78909,0.81517,0.87405,0.45499,1.62025,0.85853,1.02107,0.0013268,0.0013268,0.0013268
19,1189.71,1.69018,0.94387,1.02218,0.79464,0.82709,0.88072,0.44838,1.63216,0.86437,1.0201,0.0012872,0.0012872,0.0012872
20,1252.47,1.68481,0.93523,1.0218,0.79749,0.81989,0.88078,0.44624,1.63491,0.86965,1.02157,0.0012476,0.0012476,0.0012476
21,1314.72,1.67329,0.92722,1.01872,0.79902,0.82916,0.88337,0.46603,1.59223,0.83699,1.01278,0.001208,0.001208,0.001208
22,1377.07,1.67601,0.92371,1.01856,0.79739,0.82473,0.87991,0.46314,1.59688,0.85196,1.01758,0.0011684,0.0011684,0.0011684
23,1439.4,1.67191,0.91483,1.01901,0.80469,0.82249,0.88346,0.45471,1.62062,0.84582,1.01837,0.0011288,0.0011288,0.0011288
24,1501.88,1.66095,0.90766,1.01438,0.80724,0.82699,0.88671,0.4683,1.58608,0.8235,1.01201,0.0010892,0.0010892,0.0010892
25,1564.27,1.66407,0.90968,1.01602,0.81445,0.83512,0.89682,0.47464,1.58071,0.81118,1.00894,0.0010496,0.0010496,0.0010496
26,1626.54,1.65119,0.89819,1.01224,0.80862,0.8388,0.89508,0.46995,1.60507,0.81119,1.01131,0.00101,0.00101,0.00101
27,1688.98,1.64469,0.89921,1.00848,0.82115,0.82642,0.89768,0.48349,1.55671,0.80342,1.00731,0.0009704,0.0009704,0.0009704
28,1751.5,1.6392,0.89508,1.0107,0.82333,0.82854,0.8991,0.48018,1.55918,0.7987,1.00357,0.0009308,0.0009308,0.0009308
29,1814.3,1.6375,0.88272,1.01009,0.82683,0.84207,0.90242,0.48121,1.57022,0.7968,1.00634,0.0008912,0.0008912,0.0008912
30,1876.76,1.62551,0.86862,1.00322,0.82736,0.8495,0.90829,0.48455,1.56141,0.78579,1.00223,0.0008516,0.0008516,0.0008516
31,1939.18,1.61249,0.86375,1.00316,0.82289,0.85283,0.9061,0.49437,1.53385,0.78087,0.99832,0.000812,0.000812,0.000812
32,2001.51,1.60716,0.85251,1.00044,0.83594,0.84617,0.91126,0.50146,1.51814,0.75672,0.99381,0.0007724,0.0007724,0.0007724
33,2063.81,1.60318,0.85341,1.00084,0.83614,0.85342,0.91392,0.50524,1.51531,0.75683,0.99299,0.0007328,0.0007328,0.0007328
34,2126.01,1.60132,0.84849,0.99786,0.83379,0.85933,0.91387,0.50825,1.50296,0.75324,0.98935,0.0006932,0.0006932,0.0006932
35,2188.03,1.58572,0.83609,0.99784,0.85115,0.85532,0.91984,0.51404,1.49647,0.743,0.98737,0.0006536,0.0006536,0.0006536
36,2250.32,1.58153,0.83459,0.99704,0.83062,0.85631,0.91283,0.49144,1.53824,0.76389,0.99567,0.000614,0.000614,0.000614
37,2312.07,1.57057,0.82718,0.99397,0.85222,0.86277,0.9201,0.5168,1.4783,0.73334,0.98294,0.0005744,0.0005744,0.0005744
38,2374.03,1.58134,0.81941,0.99301,0.84246,0.87811,0.92587,0.52063,1.47663,0.73164,0.98185,0.0005348,0.0005348,0.0005348
39,2435.5,1.56637,0.81498,0.99536,0.83541,0.8734,0.92189,0.51024,1.50395,0.7366,0.98593,0.0004952,0.0004952,0.0004952
40,2497.16,1.54553,0.8058,0.98943,0.86202,0.86991,0.9311,0.52874,1.45988,0.70868,0.97781,0.0004556,0.0004556,0.0004556
41,2560.31,1.54184,0.78972,1.01718,0.84886,0.87024,0.92715,0.5276,1.46033,0.71361,0.97847,0.000416,0.000416,0.000416
