epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,1456.29,1.67351,0.9243,1.01652,0.81603,0.81663,0.89197,0.4702,1.58971,0.81649,1.00978,0.0007724,0.0007724,0.0007724
33,1501.17,1.66399,0.92341,1.01413,0.81102,0.82843,0.8922,0.47069,1.58998,0.82816,1.00797,0.0007328,0.0007328,0.0007328
34,1546.11,1.67202,0.92207,1.01327,0.82115,0.82582,0.89266,0.46983,1.58391,0.81932,1.00828,0.0006932,0.0006932,0.0006932
35,1591.44,1.65097,0.90561,1.01227,0.8247,0.82809,0.89737,0.47849,1.56653,0.807,1.00337,0.0006536,0.0006536,0.0006536
36,1636.22,1.64975,0.90362,1.01107,0.81499,0.81817,0.88932,0.45687,1.62468,0.83239,1.01451,0.000614,0.000614,0.000614
37,1681.55,1.64391,0.9028,1.01176,0.82452,0.82183,0.89263,0.48171,1.55295,0.81185,1.00119,0.0005744,0.0005744,0.0005744
38,1726.87,1.65108,0.89062,1.00859,0.81941,0.85172,0.90316,0.48051,1.57294,0.80145,1.00437,0.0005348,0.0005348,0.0005348
39,1771.84,1.64176,0.88792,1.01175,0.82504,0.84501,0.90286,0.48831,1.54234,0.79009,0.9972,0.0004952,0.0004952,0.0004952
40,1817.68,1.62537,0.8859,1.00791,0.83131,0.8491,0.90714,0.4954,1.52876,0.78954,0.9949,0.0004556,0.0004556,0.0004556
41,1863.81,1.61601,0.86817,1.03508,0.82663,0.83764,0.90349,0.48702,1.55002,0.7903,0.99841,0.000416,0.000416,0.000416
